event_ticker,ticker,title,game_date,visitor_team,home_team,status,result,volume_fp,open_interest_fp,settlement_value_dollars,occurrence_datetime,kalshi_home_prob,pregame_yes_bid,pregame_yes_ask,cutoff_ts,end_period_ts,kalshi_home_win,start_et,visitor_pts,home_pts,home_win,home_margin
KXNBAGAME-25OCT21HOUOKC,KXNBAGAME-25OCT21HOUOKC-OKC,Houston vs Oklahoma City Winner?,2025-10-21,Houston Rockets,Oklahoma City Thunder,finalized,yes,10654946.0,0.0,1.0,,0.685,0.68,0.69,1761088500.0,1761088500.0,1,7:30p,124,125,1,1
KXNBAGAME-25OCT21GSWLAL,KXNBAGAME-25OCT21GSWLAL-LAL,Golden State vs Los Angeles L Winner?,2025-10-21,Golden State Warriors,Los Angeles Lakers,finalized,no,6938516.0,0.0,0.0,,0.435,0.43,0.44,1761097500.0,1761097500.0,0,10:00p,119,109,0,-10
KXNBAGAME-25OCT22DETCHI,KXNBAGAME-25OCT22DETCHI-CHI,Detroit vs Chicago Winner?,2025-10-22,Detroit Pistons,Chicago Bulls,finalized,yes,1865164.0,0.0,1.0,,0.405,0.4,0.41,1761176700.0,1761176700.0,1,8:00p,111,115,1,4
KXNBAGAME-25OCT22CLENYK,KXNBAGAME-25OCT22CLENYK-NYK,Cleveland vs New York Winner?,2025-10-22,Cleveland Cavaliers,New York Knicks,finalized,yes,4635331.0,0.0,1.0,,0.46499999999999997,0.46,0.47,1761173100.0,1761173100.0,1,7:00p,111,119,1,8
KXNBAGAME-25OCT22LACUTA,KXNBAGAME-25OCT22LACUTA-UTA,Los Angeles C vs Utah Winner?,2025-10-22,Los Angeles Clippers,Utah Jazz,finalized,yes,1385071.0,0.0,1.0,,0.20500000000000002,0.2,0.21,1761180300.0,1761180300.0,1,9:00p,108,129,1,21
KXNBAGAME-25OCT22MIAORL,KXNBAGAME-25OCT22MIAORL-ORL,Miami vs Orlando Winner?,2025-10-22,Miami Heat,Orlando Magic,finalized,yes,1842075.0,0.0,1.0,,0.755,0.75,0.76,1761173100.0,1761173100.0,1,7:00p,121,125,1,4
KXNBAGAME-25OCT22TORATL,KXNBAGAME-25OCT22TORATL-ATL,Toronto vs Atlanta Winner?,2025-10-22,Toronto Raptors,Atlanta Hawks,finalized,no,963636.0,0.0,0.0,,0.655,0.65,0.66,1761174900.0,1761174900.0,0,7:30p,138,118,0,-20
KXNBAGAME-25OCT22BKNCHA,KXNBAGAME-25OCT22BKNCHA-CHA,Brooklyn vs Charlotte Winner?,2025-10-22,Brooklyn Nets,Charlotte Hornets,finalized,yes,1132272.0,0.0,1.0,,0.645,0.64,0.65,1761173100.0,1761173100.0,1,7:00p,117,136,1,19
KXNBAGAME-25OCT22NOPMEM,KXNBAGAME-25OCT22NOPMEM-MEM,New Orleans vs Memphis Winner?,2025-10-22,New Orleans Pelicans,Memphis Grizzlies,finalized,yes,1636132.0,0.0,1.0,,0.615,0.61,0.62,1761176700.0,1761176700.0,1,8:00p,122,128,1,6
KXNBAGAME-25OCT22SASDAL,KXNBAGAME-25OCT22SASDAL-DAL,San Antonio vs Dallas Winner?,2025-10-22,San Antonio Spurs,Dallas Mavericks,finalized,no,4272826.0,0.0,0.0,,0.605,0.6,0.61,1761182100.0,1761182100.0,0,9:30p,125,92,0,-33
