game_date,start_et,visitor_team,home_team,visitor_pts,home_pts
2025-10-21,7:30p,Houston Rockets,Oklahoma City Thunder,124,125
2025-10-21,10:00p,Golden State Warriors,Los Angeles Lakers,119,109
2025-10-22,7:00p,Brooklyn Nets,Charlotte Hornets,117,136
2025-10-22,7:00p,Cleveland Cavaliers,New York Knicks,111,119
2025-10-22,7:00p,Miami Heat,Orlando Magic,121,125
2025-10-22,7:30p,Philadelphia 76ers,Boston Celtics,117,116
2025-10-22,7:30p,Toronto Raptors,Atlanta Hawks,138,118
2025-10-22,8:00p,Detroit Pistons,Chicago Bulls,111,115
2025-10-22,8:00p,New Orleans Pelicans,Memphis Grizzlies,122,128
2025-10-22,8:00p,Washington Wizards,Milwaukee Bucks,120,133
2025-10-22,9:00p,Los Angeles Clippers,Utah Jazz,108,129
2025-10-22,9:30p,San Antonio Spurs,Dallas Mavericks,125,92
2025-10-22,10:00p,Minnesota Timberwolves,Portland Trail Blazers,118,114
2025-10-22,10:00p,Sacramento Kings,Phoenix Suns,116,120
2025-10-23,7:30p,Oklahoma City Thunder,Indiana Pacers,141,135
2025-10-23,10:00p,Denver Nuggets,Golden State Warriors,131,137
2025-10-24,6:30p,Milwaukee Bucks,Toronto Raptors,122,116
2025-10-24,7:00p,Atlanta Hawks,Orlando Magic,111,107
2025-10-24,7:30p,Cleveland Cavaliers,Brooklyn Nets,131,124
2025-10-24,7:30p,Boston Celtics,New York Knicks,95,105
2025-10-24,8:00p,Detroit Pistons,Houston Rockets,115,111
2025-10-24,8:00p,San Antonio Spurs,New Orleans Pelicans,120,116
2025-10-24,8:00p,Miami Heat,Memphis Grizzlies,146,114
2025-10-24,8:30p,Washington Wizards,Dallas Mavericks,117,107
2025-10-24,10:00p,Minnesota Timberwolves,Los Angeles Lakers,110,128
2025-10-24,10:00p,Golden State Warriors,Portland Trail Blazers,119,139
2025-10-24,10:00p,Utah Jazz,Sacramento Kings,104,105
2025-10-24,10:30p,Phoenix Suns,Los Angeles Clippers,102,129
2025-10-25,7:00p,Chicago Bulls,Orlando Magic,110,98
2025-10-25,7:30p,Oklahoma City Thunder,Atlanta Hawks,117,100
2025-10-25,7:30p,Charlotte Hornets,Philadelphia 76ers,121,125
2025-10-25,8:00p,Indiana Pacers,Memphis Grizzlies,103,128
2025-10-25,9:00p,Phoenix Suns,Denver Nuggets,111,133
2025-10-26,2:00p,Brooklyn Nets,San Antonio Spurs,107,118
2025-10-26,3:30p,Boston Celtics,Detroit Pistons,113,119
2025-10-26,6:00p,Charlotte Hornets,Washington Wizards,139,113
2025-10-26,6:00p,New York Knicks,Miami Heat,107,115
2025-10-26,6:00p,Milwaukee Bucks,Cleveland Cavaliers,113,118
2025-10-26,7:00p,Indiana Pacers,Minnesota Timberwolves,110,114
2025-10-26,7:30p,Toronto Raptors,Dallas Mavericks,129,139
2025-10-26,9:00p,Los Angeles Lakers,Sacramento Kings,127,120
2025-10-26,9:00p,Portland Trail Blazers,Los Angeles Clippers,107,114
2025-10-27,7:00p,Cleveland Cavaliers,Detroit Pistons,116,95
2025-10-27,7:00p,Orlando Magic,Philadelphia 76ers,124,136
2025-10-27,8:00p,Atlanta Hawks,Chicago Bulls,123,128
2025-10-27,8:00p,Brooklyn Nets,Houston Rockets,109,137
2025-10-27,8:00p,Boston Celtics,New Orleans Pelicans,122,90
2025-10-27,8:00p,Toronto Raptors,San Antonio Spurs,103,121
2025-10-27,8:30p,Oklahoma City Thunder,Dallas Mavericks,101,94
2025-10-27,9:00p,Phoenix Suns,Utah Jazz,134,138
2025-10-27,9:30p,Denver Nuggets,Minnesota Timberwolves,127,114
2025-10-27,10:00p,Memphis Grizzlies,Golden State Warriors,118,131
2025-10-27,10:30p,Portland Trail Blazers,Los Angeles Lakers,122,108
2025-10-28,7:00p,Philadelphia 76ers,Washington Wizards,139,134
2025-10-28,7:30p,Charlotte Hornets,Miami Heat,117,144
2025-10-28,8:00p,New York Knicks,Milwaukee Bucks,111,121
2025-10-28,8:00p,Sacramento Kings,Oklahoma City Thunder,101,107
2025-10-28,11:00p,Los Angeles Clippers,Golden State Warriors,79,98
2025-10-29,6:30p,Houston Rockets,Toronto Raptors,139,121
2025-10-29,7:00p,Cleveland Cavaliers,Boston Celtics,105,125
2025-10-29,7:00p,Orlando Magic,Detroit Pistons,116,135
